English	Svenska
indomitable	oövervinnelig
invincible	oövervinnelig
invincible	oövervinnerlig
impregnable	oövervinnlig
ps	P.S.
pacemaker	pacemaker
pacifism	pacifism
pacifist	pacifist
scum	pack
dregs	pack
pack	pack
trash	pack
rabble	pack 1
stow	packa
pack	packa
pack	packa full
nest	packa ihop
crowd	packa ihop
pack	packa ihop
bank up	packa ihop
bank	packa ihop
pack	packa ihop sig
case	packa in
package	packa in
stuff	packa in
encase	packa in
pack	packa in
pack	packa sig iväg
crate up	packa/lägga i en packkorg/back/spjällåda
tight	packad
crowded	packad
bombed	packad
tanked-up	packad
plastered	packad
tanked	packad
tight	packad berusad
wad	packe
bale	packe
bundle	packe
package	packe
pack	packe
packing	packetering
packaging	packetering
pack	packis
crate	packkorg
baggage	packning
kit	packning
pack	packning
seal	packning
gasket	packning
packing	packning
packaging	packning
swag	packning
luggage	packning
rubble	packsten
paddle	paddel
paddle	paddeltur
paddle	paddla
canoe	paddla kanot
paddle	paddling
paddock	paddock
flabbergasted	paff
pageboy	page
page	page
bob	pagefrisyr
pageboy	pagefrisyr
paginate	paginera
number	paginera
pagination	paginering
pie	paj
pack	paja
antic	pajas
clown	pajas
pastry	pajdeg
crust	pajskal
packet	paket
cabbage	paket
parcel	paket
pack	paket
packet	paketera
carrier	pakethållare
Pakistani	pakistanier
Pakistani	pakistansk
pact	pakt
covenant	pakt
treaty	pakt
palace	palats
palaver	palaver
Palestinian	palestinier
Palestinian	palestinsk
palette	palett
palimpsest	palimpsest
palindrome	palindrom
stool	pall
cope with	pallar
frond	palmblad
Palm Sunday	palmsöndagen
palm	palmträd
palm tree	palmträd
palpation	palpation
palpate	palpera
parsnip	palsternacka
rags	paltor
duds	paltor
lampoon	pamflett
magnificent	pampig
palace	pampigt bostadshus för kungliga eller adliga personer
panel	panel
crumb	panera
syrinx	panflöjt
slap	pang
slap-bang	pang
bang	pang
smashing	pang-
slap	pang på
slap-bang	pang på
knockout	pangbrud
knockout	pangkille
bombshell	pangnyhet
scoop	pangnyhet
killer	pangsak
fox	pangsnygg kvinna
knockout	pangsuccé
panic	panik
panicky	panikartade
scare	panikstämning
broke	pank
flat	pank
bust	pank
pancreas	pankreas
pan	panna
brow	panna
forehead	panna
pancake	pannkaka
pancake landing	pannkakslandning
headlamp	pannlampa
forelock	pannlugg
panorama	panorama
panoramic	panorama-
panorama	panoramamålning
panorama	panoramaskildring
pan	panorera
syrinx	panpipa
armature	pansar
armour	pansar
mail	pansar
plating	pansar
armour	pansra
deposit	pant
pledge	pant
pawn	pant
pawnshop	pantbank
panther	panter
pawnbroker	pantlånare
pawnshop	pantlånekontor
pantomime	pantomim
mime	pantomim
pledge	pantsätta
pawn	pantsätta
parrot	papegoja
paper	paper
paperback	paperback
papier-mâché	papier-maché
curler	papiljott
hair curler	papiljott
board	papp
pasteboard	papp
cardboard	papp eller styvt papper
father	pappa
papa	pappa
daddy	pappa
dad	pappa
paternity leave	pappaledighet
carton	pappask
papers	papper
mount	papper
paper	papper
carbon paper	papper som överför skrift på en kopia
sheet	pappersark
papermill	pappersbruk
paperwork	pappersexercis
atlas	pappersformat 26 x 34 tum
stationer	pappershandlare
bulldog clip	pappersklämma
slip	papperslapp
paperless	papperslös
paperless	papperslöst
wood pulp	pappersmassa
pulp	pappersmassa
Kleenex	pappersnäsduk
tissue	pappersnäsduk
stiff	papperspengar
slip	pappersremsa
die	pappersstämpel
paper tiger	papperstiger
dimwit	pappskalle
paprika	paprika
pepper	paprika
capsicum	paprika
green pepper	paprika
paprika	paprikapulver
pair	par
team	par
couple	par
duo	par
brace	par
couple	para
mate	para
mate	para djur
twin	para ihop
mate	para sig
couple	para sig
parable	parabel
parabolic antenna	parabolantenn
dish	parabolantenn
parabolic aerial	parabolantenn
parabolic	parabolisk
parade	parad
parade	paradera
paradigm	paradigm
paradigmatic	paradigm-
paradigmatic	paradigmatisk
paradise	paradis
paradise	paradiset
goosestep	paradmarsch
busby	paradmössa av skinn
paradox	paradox
paradoxical	paradoxal
article	paragraf
section	paragraf
clause	paragraf
red tape	paragrafrytteri
parakeet	parakiter
analogy	parallell
analog	parallell
parallel	parallell
analogue	parallell
collateral	parallell
parallel	parallell linje
paralyze	paralysera
paralyse	paralysera
paralytic	paralytiker
paralytic	paralytisk
paramedical	paramedicinsk
paramedic	paramedicinsk
parametric	parametrisk
paramilitary	paramilitär
paranoia	paranoia
paranormal	paranormal
bracket	parantes
paralympic	paraolympiska
parapet	parapet
paraplegic	paraplegiker
parasite	parasit
parasol	parasoll
sunshade	parasoll
pat	parat
paratyphoid	paratyfus
quarter	pardon
parenthesis	parentes
parenthesis	parentestecken
fence	parera
ward	parera
fend off	parera
parry	parera
parry	parering
fragrance	parfym
perfume	parfym
scent	parfym
scent	parfymera
scented	parfymerad
perfumed	parfymerad
perfumery	parfymeri
perfumery	parfymeriaffär
perfumery	parfymtillverkning
Ferris wheel	pariserhjul
ferris wheel	pariserhjul
parity	paritet
fleet	park
park	park
parka	parkas
park bench	parkbänk
park	parkera
garage	parkera bilen i garage
parking	parkerande
parking	parkering
ticket	parkeringsböter
car park	parkeringshus
ticket	parkeringslapp
parking lot	parkeringsplats
parking space	parkeringsplats
park	parkeringsplats
parking	parkeringsplats
lay-by	parkeringsplats invid väg
parquet flooring	parkett
parquet	parkett
well	parkett
parquet flooring	parkettgolv
parquet	parkettgolv
stall	parkettplats
wayfaring tree	parkolvon
ranger	parkvaktare
parliament	parlament
parliamentarians	parlamentarikerna
parliamentary	parlamentarisk
act	parlamentariskt beslut
parliamentarianism	parlamentarism
parliamentarism	parlamentarismen
parliamentary	parlaments-
MP	parlamentsledamot
congressman	parlamentsledamot
Member of Parliament	parlamentsledamot
backbencher	parlamentsledamot som sitter i de bakre bänkraderna i parlamentet
phrase book	parlör
courtship	parningslek
parody	parodi
spoof	parodi
mockery	parodi
caricature	parodi
charade	parodi
burlesque	parodiera
mock	parodiera
parody	parodiera
mimic	parodiera
burlesque	parodisk
periodontitis	parodontit
periodontics	parodontologi
periodontology	parodontologi
word	paroll
banner	paroll
fit	paroxysmer
heroic couplet	parrimmad jambisk vers
part	part
party	part
blowout	partaj
batch	parti
part	parti
connection	parti
lot	parti
party	parti
round	parti
hand	parti
match	parti
quantity	parti
machine	partiapparat
party machine	partiapparat
partial	partiell
political affiliation	partifärg
faction	partigrupp
particle	partikel
granule	partikel
phrasal verb	partikelverb
party line	partilinje
independent	partilös
maverick	partilös person
machine	partiorganisation
party politics	partipolitik
party political	partipolitisk
ticket	partiprogram
platform	partiprogram
partial	partisk
biased	partisk
weighted	partisk
interested	partisk
biassed	partisk
favour	partiskhet
score	partitur
party line	partledning
date	partner
partner	partner
party	party
bean feast	party
party favors	partypresent
party piece	partyunderhållning
pass	pass
passport	pass
beat	pass
defile	pass
turn	pass
tend	passa
agree with	passa
belong	passa
watch	passa
fit	passa
suit	passa
go	passa
befit	passa
pass	passa
behoove	passa
apply	passa
go with	passa
become	passa
match	passa bra i färg och/eller mönster
match	passa bra i färg och/eller mönster med någonting annat
suit	passa för
fit	passa i
dovetail	passa ihop
square	passa ihop
click	passa ihop
suit	passa ihop med
dovetail	passa in
blend in	passa in
insert	passa in
belong	passa in
fit in	passa in
fit	passa in
suit	passa in i
dovetail	passa in i varandra
fit	passa in på
answer	passa in på
apply	passa in på
anwer	passa in på
tend	passa på
watch	passa på
assist	passa till
suit	passa till
go together	passa tillsammans
attend	passa upp
tend	passa upp
wait	passa upp
valet	passa upp på
pass	passage
negotiation	passage
defile	passage
lobby	passage
passage	passage
passage way	passage
arcade	passage med affärer på båda sidor
capsule	passagerardel i rymdfarkost
occupant	passagerare
passenger	passagerare
traveller	passagerare
traveler	passagerare
becoming	passande
proper	passande
assorted	passande
apropos	passande
apt	passande
decorous	passande
opportune	passande
correct	passande
suitable	passande
suitably	passande
appropriate	passande
applicable	passande
suited	passande
decent	passande
ideal	passande
pat	passande
convenient	passande
queenly	passande för en drottning
compasses	passare
dividers	passare
passé	passé
pass	passera
strain	passera
cross	passera
come by	passera
go by	passera
skirt	passera i utkanten av
pass by	passera obemärkt förbi
pass over	passera obemärkt förbi
leapfrog	passera språngvis
negotiation	passerande
pass	passerande
pass	passering
pass	passerkort
passport	passersedel
pass	passersedel
fit	passform
flame	passion
addiction	passion
passion	passion
enthusiasm	passion
hot-blooded	passionerad
ardent	passionerad
gaga	passionerad
keen	passionerad
fervent	passionerad
impassioned	passionerad
full-blooded	passionerad
passive	passiv
passive voice	passiv form
passive	passiv form
passivity	passivitet
passively	passivt
passive voice	passivum
passive	passivum
assist	passning
pass	passning
passage	passus
paste	pasta
pasta	pasta
pâté	pastej
pastel	pastell
pastel	pastellfärg
pastel	pastellfärgad
pastel	pastellkrita
lozenge	pastill
pastille	pastill
Rev	pastor
pastor	pastor
Reverend	pastor
incumbency	pastorat
cure	pastorat
patent	patent
patented	patenterad
patent	patenterad
patent-holder	patentinnehavare
panacea	patentlösning
nostrum	patentlösning
nostrum	patentmedicin
patent	patenträttighet
pathetic	patetisk
pitiful	patetisk
pathetic	patetiskt
patience	patiens
invalid	patient
patient	patient
clinic	patientgrupp vid klinisk undervisning
surgery	patientmottagning
patina	patina
pathogenic	patogena
pathology	patologi
pathological	patologisk
ragtag	patrask
rabble	patrask
patriarch	patriark
patriarchal	patriark-
patriarchal	patriarkalisk
paternalistic	patriarkalisk
paternalism	patriarkalisk ledning
patriot	patriot
patriotic	patriotisk
patriotism	patriotism
cartridge	patron
shell	patron
shell	patronhylsa
clip	patronmagasin
ejector	patronutkastare
patronymic	patronymikon
patronymic	patronymisk
party	patrull
patrol	patrull
squad	patrull
patrol	patrullera
patrol	patrullering
patch	patrulleringsområde
beat	patrulleringsområde
boobs	pattar
knockers	pattar
stalemate	pattställning
lull	paus
recess	paus
lay-off	paus
halt	paus
break	paus
wait	paus
interruption	paus
pause	paus
time-out	paus
half-time	pausen mellan första och andra halvlek i bollspel
pavilion	paviljong
cottage	paviljong i sjukhusanläggning
PC	PC
PDF	PDF
pecan	pecannöt
pitchblende	pechblände
pitchstone	pechsten
educationalist	pedagog
pedagogue	pedagog
educationist	pedagog
science of education	pedagogik
Pedagogy	pedagogik
pedagogy	pedagogik
pedagogical	Pedagogisk
educational	pedagogisk
pedagogical	pedagogisk
Pedagogical approach	pedagogisk inriktning
educational methodology	pedagogisk metodik
science of education	pedagogisk vetenskap
pedal	pedal
treadle	pedal
pedal	pedal-
stiff	pedant
pedantic	pedantisk
priggish	pedantisk
finicky	pedantisk
pedagogue	pedantisk lärare
paediatrics	pediatrik
pediatrics	pediatrik
paediatrician	pediatriker
pediatric	pediatrisk
pediatrician	pediatrisk
paediatric	pediatrisk
sound	pejla
bearing	pejling
pejorative	pejorativ
pejorative	pejorativt ord
point	peka med
point at	peka på
pick out	peka ut
show	peka ut
identify	peka ut
picture book	pekbok
forefinger	pekfinger
index finger	pekfinger
Beijing	Peking
pointer	pekpinne
pillar	pelare
pillars	pelare
column	pelare
column	pelare som stöd i byggnad
pelargonium	pelargonia
pelican	pelikan
twin	pendang
pendulum	pendel
commute	pendla
oscillate	pendla
commuter	pendlare
commute	pendling
oscillation	pendling
commute	pendlingssträcka
penetrate	penetrera
purse	pengar
cash	pengar
buck	pengar
lucre	pengar
circulation	pengar
shekels	pengar
money	pengar
stiff	pengar
circulation	pengar i omlopp
kickback	pengar under bordet
key money	pengar under bordet
painful	penibel
awkward	penibel
penicillin	penicillin
tool	penis
cock	penis
penance	penitens
pencil	penna
pen	penna
bullying	pennalism
touch	penndrag
monetary	penning-
remittance	penningförsändelse
embarrassment	penningknipa
difficulties	penningknipa
pocket	penningpung
withdrawal	penninguttag
penknife	pennkniv
pencil sharpener	pennvässare
brush	pensel
touch	penseldrag
pension	pension
superannuation	pension[ering
pension	pensionat
boarding-house	pensionat
guesthouse	pensionat
retire	pensionera
pension	pensionera
pension off	pensionera
superannuate	pensionera
retire	pensionera sig
retired	pensionerad
pensionable	pensions-
pensionable	pensionsgrundande
retirement age	pensionsålder
pensioner	pensionär
senior citizen	pensionär
residential retirement home	pensionärshem
Pentagon	Pentagon
pentagon	pentagon
kitchenette	pentry
pepperoni	peperoni
pepper	peppar
gingerbread	pepparkaka
mill	pepparkvarn
peppermint	pepparmint
humbug	pepparmintkaramell
peppermint	pepparmynta
horse-radish	pepparrot
horseradish	pepparrot
pepper	peppra
pepper	peppra full med
per	per
a	per
an	per
by	per
in	per
per capita	per capita
per diem	per dag
per capita	per man
apiece	per person
per se	per se
apiece	per styck
per annum	per år
percentile	percentil
construct	percept
perceptual	perceptuell
perceptually	perceptuellt
perennial	perenn
present perfect	perfekt
perfectly	perfekt
letter-perfect	perfekt
perfect tense	perfekt
splendid	perfekt
fine	perfekt
perfect	perfekt
ideal	perfekt
past participle	perfekt particip
perfect participle	perfekt particip
forgotten	perfekt particip av forget
perfection	perfektion
perfectionist	perfektionist
perforate	perforera
tangential	perifer
peripheral	perifer
circumference	periferi
periphery	periferi
fringe	periferi
circumferential	periferisk
perihelion	perihelium
period	period
day	period
run	period
age	period
cycle	period
semester	period
patch	period
tenability	period av innehav
Prohibition	period i USA mellan 1920 och 1933 då försäljning av rusdrycker var förbjuden enligt lag
freeze	period med mycket kall temperatur.
life	perioden mellan födelse och död
periodicity	periodicitet
periodic	periodisk
recur	periodisk
periodical	periodisk
cyclical	periodisk
periodicity	periodisk växling
intermittent	periodiskt återkommande
percolate	perkolera
percolation	perkolering
percussion	perkussion
permanency	permanens
permanence	permanens
permanent	permanent
permanently	permanent
permanent wave	permanent
perm	permanent
standing	permanent
domicile	permanent adress
leave of absence	permission
leave	permission
perplexed	perplex
platform	perrong
article	persedel
kit	persedlar
outfit	persedlar
gear	persedlar
clobber	persedlar som man bär med sig
Persian	perser
Persian	perserkatt
Persian cat	perserkatt
Persian lamb	persian
Persia	Persien
peach	persika
peach	persikoträd
parsley	persilja
Persian	persisk
Persian	persiska
Persian Gulf	Persiska golfen
Persian Gulf	Persiska viken
body	person
head	person
misfit	person
person	person
character	person
pick-up	person
prowler	person eller djur som stryker omkring
digger	person eller maskin som gräver
licenser	person eller myndighet som beviljar en licens
culprit	person eller sak skyldig till något
adapter	person eller sak som anpassar sig
layer	person eller sak som lägger någonting
downer	person eller situation
connector	person eller ting vars uppgift det är att koppla samman
Chinese	person från Kina
Cuban	person från Kuba
New Zealander	person från Nya Zeeland
Oriental	person från Orienten
Austrian	person från Österrike
baby boomer	person född under en baby boom
blue	person i blått
graduate	person med akademisk examen
grad	person med akademisk examen
baby face	person med babyansikte
master	person med en Master's degree
liberal	person med liberala ideer
orderly	person med lägre utbildning som vårdar sjuka
idiot	person med mycket låg intelligensnivå
paramedic	person med paramedicinsk utbildning
licensee	person med rättigheter
specialist	person med specialkompetens inom något specifikt område
licensee	person med spriträttigheter
priest	person med särskild utbildning med vissa religiösa förpliktelser och ansvarsområden i vissa icke-kristna religioner
roommate	person med vilken man delar rum
honeymooner	person på bröllopsresa
bum	person på deken
derelict	person på dekis
nag	person som alltid tjatar
consenting adult	person som anses vuxen att själv ta ansvar för sina sexuella handlingar
hinter	person som antyder någonting
cleaner	person som arbetar på en tvättinrättning
interrupter	person som avbryter
dropout	person som avbryter sina studier
abstainer	person som avhåller sig från alkohol
intestate	person som avlider utan att lämna något testamente efter sig
culprit	person som begått ett brott
grantee	person som beviljas anslag
bleacher	person som bleker
backwoodsman	person som bor i obygden/utmarken
native	person som bor på ett och samma ställe och har gjort det en längre tid
healer	person som botar eller helar
beginner	person som börjar
drinker	person som dricker
honeymooner	person som firar smekmånad
back-scratcher	person som fjäskar
inquirer	person som frågar
pensioner	person som får pension
centrist	person som för mittenpolitik
proponent	person som företer testamente med mera för godkännande
eponym	person som givit upphov till benämning
legend	person som gjort sig känd för någonting specifikt
grumbler	person som gnäller och klagar
excavator	person som gräver
bankrupt	person som gått/försatts i konkurs
ostrich	person som gömmer huvudet i sanden
objector	person som gör invändningar
digester	person som gör sammandrag
potter	person som hantverksmässigt gör keramik
bugger	person som har analsex
treasurer	person som har hand om en kassa
cashier	person som har hand om en kassa
administrator	person som har hand om organisationen på ett företageller inom en organisation
holder	person som har kontroll över till exempel företag
inspector	person som har till uppgift att kontrollera något
chef	person som har till yrke att laga mat
entertainer	person som har till yrke att underhålla
holder	person som har viss angiven åsikt
interceptor	person som hejdar
toast	person som hyllas
landlord	person som hyr ut bostad
lookout	person som håller utkik
beginner	person som inleder
sticker	person som inte ger upp i första taget
bereaved	person som just har förlorat en närstående
pirate	person som kapar och plundrar fartyg
mower	person som klipper gräs
gender-bender	person som klär sig och uppträder som det motsatta könet
knocker	person som knackar
comer	person som kommer eller anländer
nationalist	person som kämpar för nationell självständighet
master of ceremonies	person som leder föreställning med olika artister
bushman	person som lever i bushen
celibate	person som lever i celibat
man-about-town	person som lever njutningsfullt
tradesman	person som levererar varor hem till folk
depressive	person som lider av depression
megalomaniac	person som lider av storhetsvansinne
listener	person som lyssnar på något
busybody	person som lägger sig andras angelägenheter
putter	person som lägger/sätter/ställer någonting
colleague	person som man arbetar tillsammans med
guest	person som man bjuder på allt när man är på restaurang etcetera
feeder	person som matar någon annan
objector	person som motsätter sig
nominator	person som nominerar
worryguts	person som oroar sig mycket
worrywart	person som oroar sig mycket
problem	person som orsakar problem
bother	person som orskar besvär
presenter	person som presenterar
putter	person som puttar
reactant	person som reagerar
registrant	person som registrerar
steeplejack	person som reparerar kyrktorn
marker	person som rättar och betygsätter
gatherer	person som samlar ihop
good looker	person som ser anmärkningsvärt bra ut
swimmer	person som simmar
sitter	person som sitter för porträtt
model	person som sitter modell för konstnär
evacuee	person som ska evakueras
sketcher	person som skisserar
glasscutter	person som skär glas
banker	person som sköter banken
dodger	person som smiter ifrån plikt
guitarist	person som spelar gitarr
gazer	person som stirrar
perpetual student	person som studerat länge vid universitetet eller dylikt utan att ta examen
outsider	person som står utanför samhället
surfer	person som surfar på internet
geneticist	person som sysslar med ärftlighetslära
hacker	person som sysslar onormalt mycket med dataprogrammering och som tar sig in i dataprogram
merchant	person som säljer
tout	person som säljer biljetter svart
optician	person som säljer och provar ut glasögon
pleasure seeker	person som söker njutning
day tripper	person som tar en endagstur
nomad	person som tillhör boskapsskötande
ethnic	person som tillhör en etnisk minoritet
Catholic	person som tillhör katolska kyrkan
bourgeois	person som tillhör medelklassen
fielder	person som tillhör utelaget
supremacist	person som tror på nödvändigheten av en grupps överhöghet
lackey	person som uppträder ytterst undfallande och servilt mot andra
nominator	person som utser
artist	person som utövar konst
quack	person som utövar läkaryrket utan behörig utbildning
nudist	person som vill umgås naken med andra människor
guide	person som visar vägen till speciell plats
trimmer	person som vänder kappan efter vinden
recruiter	person som värvar
abandonee	person som äganderätt övergår till
bodybuilder	person som ägnar sig åt bodybuilding
gymnast	person som ägnar sig åt gymnastik
merchandiser	person som ägnar sig åt handel
contemplative	person som ägnar sin tid åt att begrunda religiösa frågor
procrastinator	person som älskar att skjuta upp saker och ting
Pentecostalist	person som är ansluten till pingströrelsen
oddball	person som är avvikande
junkie	person som är beroende
junky	person som är beroende
obscurantist	person som är fientligt inställd mot det fria tänkandet
faddist	person som är full av tillfälliga nycker
Cancer	person som är född i kräftans stjärntecken
Taurus	person som är född i Oxens tecken
bigamist	person som är gift med två peroner samtidigt
man-about-town	person som är med i svängen
careerist	person som är mest intresserad av framgång i yrkeslivet
newcomer	person som är ny i ett visst sammanhang
celibate	person som är ogift
comer	person som är på väg att bli mycket framgångsrik
invalid	person som är sjuk
interpreter	person som översätter muntligt från ett språk till ett annat
free agent	person utan några som helst förpliktelser
heretic	person vars tro avviker från den officiella
freak	person är fanatiskt intresserad av någonting
persona	persona
staff	personal
personnel	personal
personnel	personalavdelningen
manpower shortage	personalbrist
personals	personalia
staff room	personalrum
staff training	personalutbildning
staff development	personalutveckling
personalities	personangrepp
private car	personbil
personal computer	persondator
PC	persondator
people	personer
personalize	personifiera
personalise	personifiera
personalization	personifiering
personalisation	personifiering
individual	personlig
personal	personlig
glamour	personlig tjusning
charisma	personlig utstrålning
personality	personlig utstrålning
privately	personligen
personally	personligen
personality	personlighet
individuality	personlighet
character	personlighet
split personality	personlighetsklyvning
privately	personligt
personally	personligt
personal	personligt
individually	personligt
personal choice	personligt val
personal	personnytt
record	persons förflutna
bleeper	personsökare
pager	personsökare
coach	personvagn
perspective	perspektiv
picture window	perspektivfönster
perspective	perspektivlära
perspective	perspektivritning
Peruvian	peruan
Peruvian	peruansk
wig	peruk
pervert	pervers
perverse	pervers
pessary	pessar
diaphragm	pessar
pessimism	pessimism
pessimist	pessimist
bearish	pessimistisk
pessimistic	pessimistisk
cancer	pest
pestilence	pest
plague	pest
pesticide	pesticid
pesto	pestosås
pestilence	pestsmitta
fiddly	pet-
pick	peta
drop	peta
peck	peta
poke	petar
priggish	petig
particular	petig
finicky	petig
fiddly	petig
faddish	petig
fussy	petig
fusspot	petig person
fussbudget	petig person
petitioner	petitionär
fusspot	petmåns
fussbudget	petmåns
petrify	petrifiera
oil	petroleum
petroleum	petroleum
pH	pH
phylum	phylum
pp	pianissimo
pianist	pianist
piano	piano
bellboy	piccolo
page	piccolo
pageboy	piccolo
bellhop	piccolo
peck	picka
dab	pickande
peck	pickande
pickle	pickles
picnic	picknick
cartridge	pickup
pick-up	pickup
stylus	pickupnål
pedestal	piedestal
piety	pietet
reverence	pietet
vamp up	piffa up
needle	piffa upp
snappy	piffig
pert	piffig
maid	piga
spine	pigg
lively	pigg
spike	pigg
fresh	pigg
spry	pigg
alert	pigg
sprightly	pigg
fit	pigg
cheerful	pigg
tag	pigg
ginger up	pigga up
perk up	pigga upp
brighten up	pigga upp
brighten	pigga upp
hearten	pigga upp
buck up	pigga upp
perk up	piggas upp
pigment	pigment
innuendo	pik
gibe	pik
crack	pik
taunt	pika
juicy	pikant
piquant	pikant
picaresque	pikaresk-
picaresque novel	pikareskroman
picket	piket
police van	piket
picograms	pikogram
prod	pikstav
goad	pikstav för att driva på boskap med
pictogram	piktogram
dart	pil
willow	pil
arrow	pil
bolt	pil
dart	pila
shoot	pila
bow	pilbåge
pilgrim	pilgrim
pilgrimage	pilgrimsfärd
jig	pilk
jig	pilka
quiver	pilkoger
fiddle	pilla
pick	pilla
potter	pilla
putter	pilla
pill	piller
tablet	piller
pillbox	pillerask
pillbox	pillerburk
fool about	pillra
fool around	pillra
fiddly	pillrig
pilot	pilot
aviator	pilot
pilot	pilot-
arrow	pilprojektiler
Pilsner	pilsner
lager	pilsner
willow	pilträ
jig	pimpel
guzzle	pimpla
jig	pimpla
distress	pina
pinch	pina
afflicted	pinad
tweezers	pincett
forceps	pincett
cookie	pingla
tinkle	pingla
tinkle	pingla med
tinkle	pinglande
jingle	pinglande
Whitsuntide	pingst
Pentecostal	pingst-
Pentecost	pingstdagen
Whitsuntide	pingsten
Whitsuntide	pingsthelgen
Pentecostalist	pingstvän
pinetree	pinje
pine	pinje
piddle	pink
piddle	pinka
tread	pinne
spoke	pinne
pin	pinne
toggle	pinne
peg	pinne
chopstick	pinne
stick	pinne
step	pinnhål
notch	pinnhål
embarrassing	pinsam
ugly	pinsam
awkward	pinsam
painful	pinsam
peony	pion
pioneer	pionjär
frontiersman	pionjär
peep	pip
dicky bird	pip
nozzle	pip
pip	pip
chirp	pip
jet	pip
blip	pip från till exempel radar
barrel	pipa
blip	pipa
pipe	pipa
peep	pipa
chirp	pipa
light up	pipa eller cigarr
pipeline	pipeline
dropper	pipett
bowl	piphuvud
dicky-bird	pippi
birdie	pippi
dickybird	pippi
birdie	pippifågel
dickybird	pippifågel
goatee	pipskägg
jetty	pir
pier	pir
pirate	pirat
pirate	piratkopiera
piracy	piratkopiering
pirogue	pirog
pasty	pirog
piroshki	piroger
jittery	pirrig
beat	piska
bat	piska
whip	piska
dust	piska
lash	piska
dust off	piska
pelt	piska
flog	piska
lash	piska upp
churn	piska upp
beaten	piskad
lashing	piskande
beating	piskande
lashing	piskning
lash	piskrapp
crack	pisksnärt
whiplash	pisksnärt
whiplash	pisksnärtskada
piss	piss
piss	pissa
pistachio	pistasch
pistachio	pistaschgrönt
pistachio	pistaschmandelträd
pistol	pistol
gun	pistol
gunshot	pistol eller kanon
gunpoint	pistolhot
gunshot	pistolskott
piston	pistong
plunge	pistong
ram	pistong
pitch	pitcha
pitch pine	pitchpine
prick	pitt
dick	pitt
quaint	pittoresk
picturesque	pittoresk
pivotal	pivå-
pixel	pixel
pizza	pizza
pizzeria	pizzeria
baby	pjoska med
fuss over	pjoska med
spoil	pjoska med
pamper	pjoska med
coddle	pjoska med
namby-pamby	pjoskig
piece	pjäs
title	pjäs
man	pjäs
play	pjäs
man	pjäs i schack
rank	placera
locate	placera
post	placera
bestow	placera
fix	placera
situate	placera
lay	placera
park	placera
lodge	placera
seat	placera
settle	placera
place	placera
site	placera
position	placera
slot	placera
marshal	placera efter rang
stack	placera högar av saker på en plats
pigeonhole	placera i ett fack
classify	placera i klasser
colonize	placera i kolonierna
colonise	placera i kolonierna
bathe	placera i vatten
categorize	placera i viss klass
categorize	placera i viss klass efter kvalitet
pose	placera i önskad pose
space	placera med avstånd emellan
institutionalize	placera på anstalt
institutionalise	placera på anstalt
place	placera sig
bug	placera ut dolda mikrofoner
situated	placerad
based	placerad
postural	placerad på visst sätt
seating	placerande
set	placerat
attachment	placering
seating	placering
disposal	placering
investment	placering
placement	placering
disposition	placering
alignment	placering i rät linje
plump	pladask
splash	pladask
babble	pladder
jabber	pladder
gabble	pladder
chatter	pladder
rattle	pladder
prattle	pladder
cackle	pladder
drivel	pladdra
chatter	pladdra
drivel on	pladdra
cackle	pladdra
drivel away	pladdra
babble	pladdra
jabber	pladdra
gabble	pladdra
rattle on	pladdra på
clothes	plagg
gabardine	plagg gjort av gabardintyg
plagiarism	plagiat
copier	plagiator
lift	plagiera
plagiarism	plagiering
broadsheet	plakat
poster	plakat
placard	plakat
plate	plakat
ground	plan
wicket	plan
plan	plan
level	plan
flat	plan
blueprint	plan
device	plan
arrangement	plan
deck	plan
game	plan
draft	plan
programme	plan
scheme	plan
trace	plan
plane	plan
park	plan
program	plan
design	plan
flat	plan yta
plane	plan yta
face	plana
plane	plana
level off	plana ut
level out	plana ut
bottom out	plana ut
planned economy	planekonomi
contemplate	planera
scheme	planera
devise	planera
plot	planera
budget	planera
project	planera
plan	planera
arrange	planera
schedule	planera
compass	planera
concert	planera
intend	planera
map out	planera
purpose	planera
get up	planera
design	planera
lay out	planera
phase	planera eller arrangera gradvis
look ahead	planera för framtiden
slate	planera in
engineer	planera och bygga som ingenjör
intended	planerad
intentional	planerad
planning	planering
projection	planering
routing	planering av postutdelning
routing	planering av resrutt
planet	planet
planetarium	planetarium
Earth	planeten Tellus
planking	plank
plank	plank
crash	planka
batten	planka
plank	planka
plank	plankbeklädning
planking	plankbeklädning
butt	plankfog
plankton	plankton
butt	plankända
program	planlägga
programme	planlägga
chart	planlägga
plan	planlägga
compass	planlägga
compass	planlägga brott och dylikt
designer	planläggare
planning	planläggning
logistics	planläggning och utförande av transporter och underhåll
desultory	planlös
aimless	planlös
random	planlös
casual	planlös
planning	planlösning
head-first	planlöst
headlong	planlöst
blueprint	planritning
flatly	plant
plant	planta
plantation	plantage
hacienda	plantage
set	plantera
plant	plantera
bed	plantera
pot up	plantera i en kruka
naturalize	plantera in
naturalise	plantera in
naturalize	plantera in växt eller djur
naturalise	plantera in växt eller djur
potted	planterad i kruka
grove	plantering
plantation	plantering
nursery garden	plantskola
nursery	plantskola
dash	plask
splash	plask
splash	plask!
dabble	plaska
lap	plaska
slop about	plaska
slop around	plaska
thrash	plaska
splash	plaska
lap	plaska mot
paddle	plaska omkring
slop about	plaska omkring
slop around	plaska omkring
splash	plaskande
dash	plaskande
